MSSubClass,LotArea,YearBuilt,GrLivArea,MasVnrArea,SalePrice
60,8450,2003,1710,196,208500
20,9600,1976,1262,0,181500
60,11250,2001,1786,162,223500
70,9550,1915,1717,0,140000
60,14260,2000,2198,350,250000
50,14115,1993,1362,0,143000
20,10084,2004,1694,186,307000
60,10382,1973,2090,240,200000
50,6120,1931,1774,0,129900
190,7420,1939,1077,0,118000
20,11200,1965,1040,0,129500
60,11924,2005,2324,286,345000
20,12968,1962,912,0,144000
20,10652,2006,1494,306,279500
20,10920,1960,1253,212,157000
45,6120,1929,854,0,132000
20,11241,1970,1004,180,149000
90,10791,1967,1296,0,90000
20,13695,2004,1114,0,159000
20,7560,1958,1339,0,139000
60,14215,2005,2376,380,325300
45,7449,1930,1108,0,139400
20,9742,2002,1795,281,230000
120,4224,1976,1060,0,129900
20,8246,1968,1060,0,154000
20,14230,2007,1600,640,256300
20,7200,1951,900,0,134800
20,11478,2007,1704,200,306000
20,16321,1957,1600,0,207500
30,6324,1927,520,0,68500
70,8500,1920,1317,0,40000
20,8544,1966,1228,0,149350
20,11049,2007,1234,0,179900
20,10552,1959,1700,0,165500
120,7313,2005,1561,246,277500
60,13418,2004,2452,132,309000
20,10859,1994,1097,0,145000
20,8532,1954,1297,650,153000
20,7922,1953,1057,0,109000
90,6040,1955,1152,0,82000
20,8658,1965,1324,101,160000
20,16905,1959,1328,0,170000
85,9180,1983,884,0,144000
20,9200,1975,938,0,130250
20,7945,1959,1150,0,141000
120,7658,2005,1752,412,319900
50,12822,2003,2149,0,239686
20,11096,2006,1656,0,249700
190,4456,1920,1452,0,113000
20,7742,1966,955,0,127000
60,13869,1997,1470,0,177000
50,6240,1934,1176,0,114500
90,8472,1963,816,0,110000
20,50271,1981,1842,0,385000
80,7134,1955,1360,0,130000
20,10175,1964,1425,272,180500
160,2645,1999,1739,456,172500
60,11645,2004,1720,0,196500
60,13682,2006,2945,1031,438780
20,7200,1972,780,0,124900
20,13072,2004,1158,0,158000
75,7200,1920,1111,0,101000
120,6442,2006,1370,178,202500
70,10300,1921,1710,0,140000
60,9375,1997,2034,573,219500
60,9591,2004,2473,344,317000
20,19900,1970,2207,287,180000
20,10665,2003,1479,167,226000
30,4608,1945,747,0,80000
50,15593,1953,2287,0,225000
20,13651,1973,2223,1115,244000
20,7599,1982,845,0,129500
60,10141,1998,1718,40,185000
20,10200,1954,1086,104,144900
50,5790,1915,1605,0,107400
180,1596,1973,988,0,91000
20,8475,1956,952,0,135750
50,8635,1948,1285,0,127000
90,10778,1968,1768,0,136500
50,10440,1910,1230,0,110000
60,13000,1968,2142,576,193500
120,4500,1998,1337,443,153500
20,10206,2007,1563,468,245000
20,8892,1960,1065,66,126500
80,8530,1995,1474,22,168500
60,16059,1991,2417,284,260000
60,11911,2005,1560,0,174000
160,3951,2009,1224,76,164500
50,8470,1915,1526,0,85000
20,8070,1994,990,0,123600
20,7200,1950,1040,0,109900
20,8500,1961,1235,203,98600
30,13360,1921,964,0,163500
190,7200,1910,2291,0,133900
60,9337,1997,1786,0,204750
60,9765,1993,1470,68,185000
20,10264,1999,1588,183,214000
20,10921,1965,960,48,94750
30,10625,1920,835,0,83000
20,9320,1959,1225,0,128950
20,10603,1977,1610,28,205000
60,9206,1985,1732,336,178000
90,7018,1979,1535,0,118964
20,10402,2009,1226,0,198900
50,7758,1931,1818,600,169500
60,9375,2003,1992,768,250000
30,10800,1885,1047,0,100000
20,6000,1948,789,0,115000
50,8500,1919,1517,0,115000
20,11751,1977,1844,480,190000
50,9525,1954,1855,0,136900
80,7750,2000,1430,0,180000
60,9965,2007,2696,220,383970
20,21000,1953,2259,184,217000
70,7259,1945,2320,0,259500
160,3230,1999,1458,1129,176000
20,11616,1962,1092,116,139000
20,8536,2006,1125,0,155000
60,12376,1990,3222,0,320000
60,8461,2005,1456,0,163990
80,21453,1969,988,0,180000
50,6060,1939,1123,0,100000
20,9464,1958,1080,135,136000
120,7892,1993,1199,0,153900
20,17043,1979,1586,0,181000
190,6780,1935,754,0,84500
120,4928,1976,958,0,128000
45,4388,1930,840,0,87000
60,7590,1966,1348,266,155000
20,8973,1958,1053,85,150000
60,14200,1966,2157,309,226000
60,12224,2000,2054,40,244000
20,7388,1959,1327,0,150750
20,6853,2001,1296,136,220000
20,10335,1968,1721,0,180000
20,10400,1970,1682,288,174000
20,10355,1967,1214,196,143000
90,11070,1988,1959,70,171000
60,9066,1999,1852,320,230000
60,15426,1997,1764,0,231500
20,10500,1971,864,0,115000
20,11645,2005,1734,0,260000
50,8520,1952,1385,0,166000
20,10335,1999,1501,183,204000
90,9100,1963,1728,336,125000
160,2522,2004,1709,50,130000
30,6120,1931,875,0,105000
60,9505,2001,2035,180,222500
20,7500,2004,1080,120,141000
50,6240,1936,1344,0,115000
20,10356,1975,969,0,122000
20,13891,2007,1710,436,372402
60,14803,1971,1993,252,190000
20,13500,1960,1252,0,235000
30,11340,1923,1200,0,125000
50,9600,1924,1096,0,79000
20,7200,1950,1040,0,109500
60,12003,2009,1968,84,269500
60,12552,2004,1947,0,254900
60,19378,2005,2462,456,320000
20,11120,1984,1232,0,162500
60,13688,2003,2668,664,412500
20,12182,2005,1541,226,220000
45,5500,1956,882,0,103200
40,5400,1926,1616,0,152000
190,10106,1940,1355,0,127500
20,10708,1955,1867,0,190000
60,10562,2007,2161,300,325624
60,8244,2004,1720,0,183500
20,16669,1981,1707,653,228000
50,12358,1941,1382,0,128500
20,31770,1960,1656,112,215000
160,5306,1987,1767,0,239000
20,10197,1961,1362,491,163000
20,12416,1986,1651,132,184000
20,12615,1950,2158,0,243000
60,10029,1988,2060,268,211000
50,13650,1958,1920,0,172500
20,17423,2008,2234,748,501837
30,8520,1923,968,0,100000
160,2117,2000,1525,456,177000
70,7588,1920,1802,0,200100
20,9060,1957,1340,98,120000
50,11426,2003,2082,0,200000
50,7438,1908,1252,0,127000
75,22950,1892,3608,0,475000
80,9947,1990,1217,0,173000
50,10410,1916,1656,0,135000
90,7018,1979,1224,275,153337
120,4923,2001,1593,0,286000
70,10570,1932,2727,0,315000
60,7472,1972,1479,138,184000
20,9017,1999,1431,0,192000
160,2522,2004,1709,50,130000
20,7180,1972,864,0,127000
160,2280,1976,1456,0,148500
20,9416,2007,1726,205,311872
75,25419,1918,3112,0,235000
75,5520,1912,2229,0,104000
20,9591,2004,1713,262,274900
20,8546,2003,1121,0,140000
20,10125,1977,1279,0,171500
50,7000,1924,1310,0,112000
120,4438,2004,848,205,149000
50,3500,1947,1284,0,110000
20,11851,1990,1442,0,180500
20,13673,1962,1696,0,143900
20,12493,1960,1100,0,141000
60,14364,1988,2062,128,277000
20,8250,1964,1092,260,145000
30,5604,1925,864,0,98000
20,10420,2009,1212,0,186000
60,8640,2009,1852,0,252678
20,13568,1995,990,0,156000
60,10900,1977,1392,153,161750
20,10011,1957,1236,64,134450
20,8450,2004,1436,266,210000
70,9906,1925,1328,0,107000
50,15660,1939,1954,312,311500
120,3010,2005,1248,16,167240
20,8990,2006,1498,0,204900
60,8068,2002,2267,0,200000
60,11475,1975,1552,0,179900
20,10500,1971,864,0,97000
20,13472,2003,2392,922,386250
160,1680,1971,1302,142,112000
60,9950,1995,2520,290,290000
160,1869,1970,987,127,106000
20,8521,1967,912,0,125000
120,3182,2005,1555,16,192500
20,8760,1959,1194,220,148000
60,15138,1995,2794,506,403000
160,1680,1972,987,297,94500
20,10650,1976,894,0,128200
60,7851,2002,1960,0,216500
160,1680,1971,987,604,89500
20,8773,2004,1414,98,185500
60,9453,1993,1744,0,194500
20,12030,2007,1694,254,318000
50,8741,1945,1487,0,113000
20,9000,2008,1566,36,262500
30,3880,1945,866,0,110500
50,5000,1900,1440,0,79000
160,10762,1980,1217,0,120000
60,8880,1994,2110,0,205000
20,10400,1988,1872,102,241500
190,9142,1910,1928,0,137000
20,11310,1954,1375,0,140000
60,11317,2003,1668,101,180000
50,159000,1958,2144,472,277000
30,5350,1940,1306,0,76500
120,4750,2006,1625,481,235000
60,8366,2004,1640,0,173000
80,9350,1964,1302,108,158000
20,8400,1957,1314,0,145000
60,8738,1999,2291,302,230000
60,8791,2003,1728,0,207500
20,8814,2006,1604,180,220000
60,12435,2001,1792,172,231500
20,12702,1956,882,0,97000
80,19296,1962,1382,399,176000
60,9588,2007,2574,270,276000
80,8471,1977,1212,46,151000
50,5500,1929,1316,0,130000
30,5232,1925,764,0,73000
20,12090,1981,1422,210,175500
60,11207,1997,1511,0,185000
75,8400,1939,2192,0,179500
30,6900,1940,778,0,120500
20,7917,1976,1113,174,148000
60,10728,2006,1939,0,266000
20,39104,1954,1363,0,241500
60,11764,1999,2270,348,290000
20,9600,1958,1632,183,139000
